;Bier;Soort;Alcohol;Brouwerij
0;3 Schténg;hogegisting;6%;Brasserie Grain d'Orge
1;IV Saison;saison;6,5%;Brasserie de Jandrain-Jandrenouille
2;V Cense;hogegisting;7,5%;Brasserie de Jandrain-Jandrenouille
3;VI Wheat;hogegisting;6%;Brasserie de Jandrain-Jandrenouille
4;7PK;hogegisting;7%;Brouwerij Anders!
5;26.2 M;hogegisting;6%;Brasserie L'Échappée Belle
6;28 Brett;versneden,amber;7,5%;De Proefbrouwerij voor Caulier Developpement
7;28 Pale Ale;blond;5%;De Proefbrouwerij voor Caulier Developpement
8;28 Triple;abdijbier;9%;Brasserie De Proefbrouwerij
9;44 Blanche;hogegisting;5,5%;Brasserie de La Gleize
10;44 Blonde;hogegisting;5,5%;Brasserie de La Gleize
11;44 Brune;hogegisting;5,5%;Brasserie de la Gleize
12;44 Brune Cuvée Spéciale;hogegisting;6,5%;Brasserie de la Gleize
13;44 Christmas;hogegisting;6%;Brasserie de la Gleize
14;44 Nuts Ambrée;hogegisting;6%;Brasserie de la Gleize
15;44 Tiger Triple;hogegisting;8%;Brasserie de la Gleize
16;365 Pils Bière;pils;4,7%;Brouwerij Haacht
17;421 Pintje;hogegisting;4,6%;Brasserie Millevertus
18;400-Quadrigenti;hogegisting;5,6%;'t Hofbrouwerijke
19;1414 Ambrosius;hogegisting;5%;Brouwerij Anders!
20;1815;hogegisting;7%;Brasserie des Fagnes
21;1842 by Caulier;hogegisting;9%;Brasserie De Proefbrouwerij
22;2290 Vorselaar;hogegisting;6%;Brouwerij Anders!
23;Aardmonnik;oudbruin;8%;De Struise Brouwers
24;Aarschotse Bruine;bruin;6%;Stadsbrouwerij Aarschot
25;Abbay d'Aulne Blonde des Pères 6;abdijbier,blond;6%;Brasserie Val de Sambre
26;Abbay d'Aulne Brune des Pères 6;abdijbier,bruin;6%;Brasserie Val de Sambre
27;Abbay d'Aulne Super Noël 9;abdijbier,kerstbier;9%;Brasserie Val de Sambre
28;Abbay d'Aulne Triple Blonde;abdijbier,tripel;8%;Brasserie Val de Sambre
29;Abbay d'Aulne Triple Brune;abdijbier,tripel;8%;Brasserie Val de Sambre
30;Abbay d'Aulne Val de Sambre;abdijbier,amber;6,4%;Brasserie Val de Sambre
